,step,total_agents,agents_shopping,agents_dwelling,agents_exiting,agents_completed
0,1,1,1,0,0,0
1,2,2,2,0,0,0
2,3,3,3,0,0,0
3,4,4,4,0,0,0
4,5,5,5,0,0,0
5,6,6,6,0,0,0
6,7,7,7,0,0,0
7,8,8,8,0,0,0
8,9,9,9,0,0,0
9,10,10,10,0,0,0
10,11,11,11,0,0,0
11,12,12,12,0,0,0
12,13,13,13,0,0,0
13,14,14,14,0,0,0
14,15,15,15,0,0,0
15,16,16,16,0,0,0
16,17,17,17,0,0,0
17,18,18,18,0,0,0
18,19,19,19,0,0,0
19,20,20,20,0,0,0
20,21,21,20,1,0,0
21,22,22,21,1,0,0
22,23,23,22,1,0,0
23,24,24,22,2,0,0
24,25,25,23,2,0,0
25,26,26,25,1,0,0
26,27,27,26,1,0,0
27,28,28,27,1,0,0
28,29,29,29,0,0,0
29,30,30,29,1,0,0
30,31,31,30,1,0,0
31,32,32,31,1,0,0
32,33,33,32,1,0,0
33,34,34,32,2,0,0
34,35,35,34,1,0,0
35,36,36,35,1,0,0
36,37,37,36,1,0,0
37,38,38,36,2,0,0
38,39,39,38,1,0,0
39,40,40,38,2,0,0
40,41,41,39,2,0,0
41,42,42,39,3,0,0
42,43,43,41,2,0,0
43,44,44,40,3,1,0
44,45,45,41,3,1,0
45,46,46,41,4,1,0
46,47,47,43,3,1,0
47,48,48,44,3,1,0
48,49,49,45,3,1,0
49,50,50,47,2,1,0
50,51,51,47,2,2,0
51,52,52,46,4,2,0
52,53,53,46,5,2,0
53,54,54,46,6,2,0
54,55,55,47,6,2,0
55,56,56,49,5,2,0
56,57,57,52,3,2,0
57,58,58,53,2,3,0
58,59,59,54,2,3,0
59,60,60,51,5,4,0
60,61,61,52,5,4,0
61,62,62,53,5,4,0
62,63,63,51,8,4,0
63,64,64,53,7,4,0
64,65,65,56,5,4,0
65,66,66,54,6,6,0
66,67,67,55,6,6,0
67,68,68,57,5,6,0
68,69,69,58,5,6,0
69,70,70,60,4,6,0
70,71,71,59,6,6,0
71,72,72,59,7,6,0
72,73,73,61,6,6,0
73,74,74,63,5,6,0
74,75,75,64,5,6,0
75,76,76,67,3,6,0
76,77,77,66,4,7,0
77,78,78,67,4,7,0
78,79,79,64,8,7,0
79,80,80,62,11,7,0
80,81,81,63,11,7,0
81,82,82,64,10,8,0
82,83,83,66,9,8,0
83,84,84,70,6,8,0
84,85,85,70,5,10,0
85,86,86,68,5,13,0
86,87,87,68,6,13,0
87,88,88,66,9,13,0
88,89,89,65,11,13,0
89,90,90,68,9,13,0
90,91,91,67,11,13,0
91,92,92,67,12,13,0
92,93,93,69,10,14,0
93,94,94,71,8,15,0
94,95,95,70,9,16,0
95,96,96,73,7,16,0
96,97,97,77,4,16,0
97,98,98,76,5,17,0
98,99,98,77,5,16,1
99,100,98,79,4,15,2
100,101,99,80,4,15,2
101,102,99,79,5,15,3
102,103,100,78,7,15,3
103,104,101,79,6,16,3
104,105,101,77,9,15,4
105,106,102,77,10,15,4
106,107,102,78,10,14,5
107,108,103,82,7,14,5
108,109,104,82,8,14,5
109,110,105,84,7,14,5
110,111,106,81,9,16,5
111,112,107,81,9,17,5
112,113,108,81,10,17,5
