Step,AgentID,agent_id,position,state,products_remaining
2.0,1,1,"(1, 4)",shopping,1
3.0,1,1,"(2, 4)",shopping,1
4.0,1,1,"(3, 4)",shopping,1
4.0,2,2,"(1, 4)",shopping,2
5.0,1,1,"(4, 4)",shopping,1
5.0,2,2,"(2, 4)",shopping,2
6.0,1,1,"(5, 4)",shopping,1
6.0,2,2,"(2, 5)",shopping,2
6.0,3,3,"(1, 4)",shopping,1
7.0,1,1,"(6, 4)",shopping,1
7.0,2,2,"(3, 5)",shopping,2
7.0,3,3,"(2, 4)",shopping,1
8.0,1,1,"(7, 4)",shopping,1
8.0,2,2,"(4, 5)",shopping,2
8.0,3,3,"(3, 4)",shopping,1
8.0,4,4,"(1, 4)",shopping,1
9.0,1,1,"(8, 4)",shopping,1
9.0,2,2,"(5, 5)",shopping,2
9.0,3,3,"(4, 4)",shopping,1
9.0,4,4,"(2, 4)",shopping,1
10.0,1,1,"(9, 4)",shopping,1
10.0,2,2,"(6, 5)",shopping,2
10.0,3,3,"(4, 3)",shopping,1
10.0,4,4,"(2, 3)",shopping,1
10.0,5,5,"(1, 4)",shopping,1
11.0,1,1,"(10, 4)",shopping,1
11.0,2,2,"(7, 5)",shopping,2
11.0,3,3,"(5, 3)",shopping,1
11.0,4,4,"(3, 3)",shopping,1
11.0,5,5,"(2, 4)",shopping,1
12.0,1,1,"(11, 4)",shopping,1
12.0,2,2,"(8, 5)",shopping,2
12.0,3,3,"(6, 3)",shopping,1
12.0,4,4,"(4, 3)",shopping,1
12.0,5,5,"(3, 4)",shopping,1
12.0,6,6,"(1, 4)",shopping,2
13.0,1,1,"(11, 5)",shopping,1
13.0,2,2,"(9, 5)",shopping,2
13.0,3,3,"(7, 3)",shopping,1
13.0,4,4,"(5, 3)",shopping,1
13.0,5,5,"(4, 4)",shopping,1
13.0,6,6,"(2, 4)",shopping,2
14.0,1,1,"(11, 6)",shopping,1
14.0,2,2,"(10, 5)",shopping,2
14.0,3,3,"(8, 3)",shopping,1
14.0,4,4,"(6, 3)",shopping,1
14.0,5,5,"(5, 4)",shopping,1
14.0,6,6,"(2, 5)",shopping,2
14.0,7,7,"(1, 4)",shopping,1
15.0,1,1,"(11, 6)",dwelling,1
