,step,total_agents,agents_shopping,agents_dwelling,agents_exiting,agents_completed
0,1,0,0,0,0,0
1,2,1,1,0,0,0
2,3,1,1,0,0,0
3,4,2,2,0,0,0
4,5,2,2,0,0,0
5,6,3,3,0,0,0
6,7,3,3,0,0,0
7,8,4,4,0,0,0
8,9,4,4,0,0,0
9,10,5,5,0,0,0
10,11,5,5,0,0,0
11,12,6,6,0,0,0
12,13,6,6,0,0,0
13,14,7,7,0,0,0
14,15,7,6,1,0,0
15,16,8,7,1,0,0
16,17,8,8,0,0,0
17,18,9,8,0,1,0
18,19,9,8,0,1,0
19,20,10,9,0,1,0
20,21,10,9,0,1,0
21,22,11,10,0,1,0
22,23,11,10,0,1,0
23,24,12,11,0,1,0
24,25,12,11,0,1,0
25,26,13,12,0,1,0
26,27,13,11,1,1,0
27,28,14,12,1,1,0
28,29,13,13,0,0,1
29,30,14,14,0,0,1
30,31,14,14,0,0,1
31,32,15,15,0,0,1
32,33,15,15,0,0,1
33,34,16,16,0,0,1
34,35,16,15,1,0,1
35,36,17,16,1,0,1
36,37,17,17,0,0,1
37,38,18,18,0,0,1
38,39,18,17,1,0,1
39,40,19,18,1,0,1
40,41,19,19,0,0,1
41,42,20,20,0,0,1
42,43,20,20,0,0,1
43,44,21,21,0,0,1
44,45,21,21,0,0,1
45,46,22,20,2,0,1
46,47,22,19,3,0,1
47,48,23,21,2,0,1
48,49,23,20,1,2,1
49,50,24,21,0,3,1
50,51,24,19,1,4,1
51,52,25,19,2,4,1
52,53,25,19,2,4,1
53,54,26,19,2,5,1
54,55,26,20,1,5,1
55,56,27,22,0,5,1
56,57,27,20,1,6,1
57,58,28,21,1,6,1
58,59,28,20,2,6,1
59,60,29,21,2,6,1
60,61,29,22,1,6,1
61,62,30,20,2,8,1
62,63,30,20,2,8,1
63,64,31,21,1,9,1
64,65,31,21,1,9,1
65,66,32,20,2,10,1
66,67,32,21,1,10,1
67,68,33,22,0,11,1
68,69,33,21,1,11,1
69,70,34,22,1,11,1
70,71,34,23,0,11,1
71,72,35,22,1,12,1
72,73,35,22,1,12,1
73,74,36,23,1,12,1
74,75,35,23,1,11,2
75,76,35,25,0,10,3
76,77,33,25,0,8,5
77,78,34,26,0,8,5
78,79,33,25,1,7,6
79,80,33,24,3,6,7
80,81,33,25,2,6,7
81,82,34,26,1,7,7
82,83,34,25,1,8,7
83,84,35,27,0,8,7
84,85,35,26,0,9,7
85,86,36,26,1,9,7
86,87,35,26,1,8,8
87,88,35,27,1,7,9
88,89,35,23,5,7,9
89,90,36,25,4,7,9
90,91,36,28,0,8,9
91,92,37,25,1,11,9
92,93,37,25,1,11,9
93,94,38,26,1,11,9
94,95,37,23,3,11,10
95,96,38,25,2,11,10
96,97,38,26,0,12,10
97,98,39,27,0,12,10
98,99,39,27,0,12,10
99,100,40,28,0,12,10
100,101,40,27,1,12,10
101,102,41,28,1,12,10
102,103,41,28,1,12,10
103,104,42,29,1,12,10
104,105,42,30,0,12,10
105,106,42,30,1,11,11
106,107,41,29,2,10,12
107,108,42,30,2,10,12
108,109,42,30,1,11,12
109,110,43,31,0,12,12
110,111,42,29,1,12,13
111,112,42,30,1,11,14
112,113,41,30,1,10,15
113,114,42,30,1,11,15
114,115,42,31,0,11,15
115,116,43,31,0,12,15
116,117,43,31,0,12,15
117,118,44,32,0,12,15
118,119,44,31,1,12,15
119,120,45,32,1,12,15
120,121,44,33,0,11,16
121,122,44,34,0,10,17
122,123,44,33,1,10,17
123,124,45,32,3,10,17
